dateRep,day,month,year,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incidence_Rate,Case-Fatality_Ratio
2020-02-28,28,2,2020,Ecuador,2020-03-01T23:33:03,-1.8312,-78.1834,1,0,0,,,,
2020-02-29,29,2,2020,Ecuador,2020-03-01T23:33:03,-1.8312,-78.1834,3,0,0,,,,
2020-03-01,1,3,2020,Ecuador,2020-03-01T23:33:03,-1.8312,-78.1834,6,0,0,,,,
2020-03-02,2,3,2020,Ecuador,2020-03-01T23:33:03,-1.8312,-78.1834,6,0,0,,,,
2020-03-03,3,3,2020,Ecuador,2020-03-03T15:13:26,-1.8312,-78.1834,7,0,0,,,,
2020-03-04,4,3,2020,Ecuador,2020-03-04T19:33:03,-1.8312,-78.1834,10,0,0,,,,
2020-03-05,5,3,2020,Ecuador,2020-03-05T17:53:02,-1.8312,-78.1834,13,0,0,,,,
2020-03-06,6,3,2020,Ecuador,2020-03-05T17:53:02,-1.8312,-78.1834,13,0,0,,,,
2020-03-07,7,3,2020,Ecuador,2020-03-05T17:53:02,-1.8312,-78.1834,13,0,0,,,,
2020-03-08,8,3,2020,Ecuador,2020-03-08T05:23:03,-1.8312,-78.1834,14,0,0,,,,
2020-03-09,9,3,2020,Ecuador,2020-03-09T09:03:03,-1.8312,-78.1834,15,0,0,,,,
2020-03-10,10,3,2020,Ecuador,2020-03-09T09:03:03,-1.8312,-78.1834,15,0,0,,,,
2020-03-11,11,3,2020,Ecuador,2020-03-11T09:33:12,-1.8312,-78.1834,17,0,0,,,,
2020-03-12,12,3,2020,Ecuador,2020-03-11T09:33:12,-1.8312,-78.1834,17,0,0,,,,
2020-03-13,13,3,2020,Ecuador,2020-03-11T20:00:00,-1.8312,-78.1834,17,0,0,,,,
2020-03-14,14,3,2020,Ecuador,2020-03-14T22:53:02,-1.8312,-78.1834,28,2,0,,,,
2020-03-15,15,3,2020,Ecuador,2020-03-14T22:53:02,-1.8312,-78.1834,28,2,0,,,,
2020-03-16,16,3,2020,Ecuador,2020-03-16T02:33:08,-1.8312,-78.1834,37,2,0,,,,
2020-03-17,17,3,2020,Ecuador,2020-03-17T03:13:15,-1.8312,-78.1834,58,2,0,,,,
2020-03-18,18,3,2020,Ecuador,2020-03-18T03:13:19,-1.8312,-78.1834,111,2,0,,,,
2020-03-19,19,3,2020,Ecuador,2020-03-19T17:13:14,-1.8312,-78.1834,199,3,0,,,,
2020-03-20,20,3,2020,Ecuador,2020-03-20T20:43:02,-1.8312,-78.1834,367,5,0,,,,
2020-03-21,21,3,2020,Ecuador,2020-03-21T20:43:02,-1.8312,-78.1834,506,7,3,,,,
2020-03-22,22,3,2020,Ecuador,3/22/20 23:45,-1.8312,-78.1834,789,14,3,772,Ecuador,,
2020-03-23,23,3,2020,Ecuador,23-03-20 23:19,-1.8312,-78.1834,981,18,3,960,Ecuador,,
2020-03-24,24,3,2020,Ecuador,24-03-20 23:37,-1.8312,-78.1834,1082,27,3,1052,Ecuador,,
2020-03-25,25,3,2020,Ecuador,25-03-20 23:33,-1.8312,-78.1834,1173,28,3,1142,Ecuador,,
2020-03-26,26,3,2020,Ecuador,26-03-20 23:48,-1.8312,-78.1834,1403,34,3,1366,Ecuador,,
2020-03-27,27,3,2020,Ecuador,27-03-20 23:23,-1.8312,-78.1834,1595,36,3,1556,Ecuador,,
2020-03-28,28,3,2020,Ecuador,3/28/20 23:05,-1.8312,-78.1834,1823,48,3,1772,Ecuador,,
2020-03-29,29,3,2020,Ecuador,3/29/20 23:08,-1.8312,-78.1834,1924,58,3,1863,Ecuador,,
2020-03-30,30,3,2020,Ecuador,3/30/20 22:52,-1.8312,-78.1834,1962,60,3,1899,Ecuador,,
2020-03-31,31,3,2020,Ecuador,31-03-20 23:43,-1.8312,-78.1834,2240,75,54,2111,Ecuador,,
2020-04-01,1,4,2020,Ecuador,01-04-20 21:58,-1.8312,-78.1834,2748,93,58,2597,Ecuador,,
2020-04-02,2,4,2020,Ecuador,04-02-20 23:25,-1.8312,-78.1834,3163,120,65,2978,Ecuador,,
2020-04-03,3,4,2020,Ecuador,03-04-20 22:46,-1.8312,-78.1834,3368,145,65,3158,Ecuador,,
2020-04-04,4,4,2020,Ecuador,04-04-20 23:34,-1.8312,-78.1834,3465,172,100,3193,Ecuador,,
2020-04-05,5,4,2020,Ecuador,05-04-20 23:06,-1.8312,-78.1834,3646,180,100,3366,Ecuador,,
2020-04-06,6,4,2020,Ecuador,04-06-20 23:21,-1.8312,-78.1834,3747,191,100,3456,Ecuador,,
2020-04-07,7,4,2020,Ecuador,07-04-20 23:04,-1.8312,-78.1834,3747,191,100,3456,Ecuador,,
2020-04-08,8,4,2020,Ecuador,08-04-20 22:51,-1.8312,-78.1834,4450,242,140,4068,Ecuador,,
2020-04-09,9,4,2020,Ecuador,09-04-20 23:02,-1.8312,-78.1834,4965,272,339,4354,Ecuador,,
2020-04-10,10,4,2020,Ecuador,10-04-20 22:53,-1.8312,-78.1834,7161,297,368,6496,Ecuador,,
2020-04-11,11,4,2020,Ecuador,11-04-20 22:45,-1.8312,-78.1834,7257,315,411,6531,Ecuador,,
2020-04-12,12,4,2020,Ecuador,12-04-20 23:17,-1.8312,-78.1834,7466,333,501,6632,Ecuador,,
2020-04-13,13,4,2020,Ecuador,13-04-20 23:07,-1.8312,-78.1834,7529,355,597,6577,Ecuador,,
2020-04-14,14,4,2020,Ecuador,14-04-20 23:33,-1.8312,-78.1834,7603,369,696,6538,Ecuador,,
2020-04-15,15,4,2020,Ecuador,15-04-20 22:56,-1.8312,-78.1834,7858,388,780,6690,Ecuador,,
2020-04-16,16,4,2020,Ecuador,16-04-20 23:30,-1.8312,-78.1834,8225,403,838,6984,Ecuador,,
2020-04-17,17,4,2020,Ecuador,17-04-20 23:30,-1.8312,-78.1834,8450,421,838,7191,Ecuador,,
2020-04-18,18,4,2020,Ecuador,18-04-20 22:32,-1.8312,-78.1834,9022,456,1008,7558,Ecuador,,
